source,address,url,rent_eur,summary,beds,baths,furnished
myhome.ie,"Richmond Avenue South, Dartry, Dublin 6, D06P2C8",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/richmond-avenue-south-dartry-dublin-6-d06p2c8/4969880,2500,,1,1,Unknown
myhome.ie,"4 Rathmore Grove, Tyrrelstown, Dublin 15, Tyrrelstown, Dublin 15, D15A5N5",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/4-rathmore-grove-tyrrelstown-dublin-15-tyrrelstown-dublin-15-d15a5n5/4962000,900,,1,1,Unknown
myhome.ie,"2 Haddington Way East, Beggars Bush, Dublin, Sandymount, Dublin 4, D04A3Y0",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/2-haddington-way-east-beggars-bush-dublin-sandymount-dublin-4-d04a3y0/4968610,3200,"2 beds, 1 bath",2,1,Unknown
myhome.ie,"2 Woodview Park Castleknock , Castleknock, Dublin 15",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/2-woodview-park-castleknock-castleknock-dublin-15/4964598,3200,,1,1,Unknown
myhome.ie,"Sorrento Road , Dalkey, South County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/sorrento-road-dalkey-south-county-dublin/4966981,2295,"2 beds, 1 bath",2,1,Unknown
myhome.ie,"OAK APPLE GREEN, Rathgar, Dublin 6, D06P6V9",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/oak-apple-green-rathgar-dublin-6-d06p6v9/4967000,2500,"2 beds, 1 bath",2,1,Unknown
myhome.ie,"Barry Avenue, Finglas, Dublin 11",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/barry-avenue-finglas-dublin-11/4898977,3450,,1,1,Unknown
myhome.ie,"EGREMONT CHURCH ROAD KILLINEY CO.DUBLIN, Killiney, Dublin, A96KPH4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/egremont-church-road-killiney-co-dublin-killiney-dublin-a96kph4/4960007,4200,,1,1,Unknown
myhome.ie,"6 Brookpark Finnstown Abbey, Lucan, Dublin County, K78 E525",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/6-brookpark-finnstown-abbey-lucan-dublin-county-k78-e525/4964488,4500,"5 beds, 3 baths",5,3,Unknown
myhome.ie,"Prussia St, Stoneybatter, Dublin 7",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/prussia-st-stoneybatter-dublin-7/4970520,6200,,1,1,Unknown
myhome.ie,"Lower Kilmacud Road, Mount Merrion, Stillorgan, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/lower-kilmacud-road-mount-merrion-stillorgan-dublin/4943937,4500,,1,1,Unknown
myhome.ie,"Wellington Lane, Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/wellington-lane-ballsbridge-dublin-4/4963471,4176,,1,1,Unknown
myhome.ie,"Adelaide Strand Road, Sandymount, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/adelaide-strand-road-sandymount-dublin-4/4969127,2783,,1,1,Unknown
myhome.ie,"Oaklands Terrance Terenure , Terenure, Dublin 6",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/oaklands-terrance-terenure-terenure-dublin-6/4965291,3400,,1,1,Unknown
myhome.ie,"Pembroke Road , Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/pembroke-road-ballsbridge-dublin-4/4964555,12000,,1,1,Unknown
myhome.ie,"Ardeevin House, Ardeevin Road, Dalkey, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/ardeevin-house-ardeevin-road-dalkey-dublin/4964741,12000,,1,1,Unknown
myhome.ie,"Lawrence Grove , Clontarf, Dublin 3",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/lawrence-grove-clontarf-dublin-3/4967999,4500,,1,1,Unknown
myhome.ie,"52 Avoca Park, Blackrock, Co. Dublin, Blackrock, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/52-avoca-park-blackrock-co-dublin-blackrock-county-dublin/4966774,7000,,1,1,Unknown
myhome.ie,"The Burbidge Lansdowne Place Dublin 4, Dublin 4, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/the-burbidge-lansdowne-place-dublin-4-dublin-4-dublin/4775580,13442,,1,1,Unknown
myhome.ie,"Glen Ellan Walk, Swords, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/glen-ellan-walk-swords-county-dublin/4965392,2700,,1,1,Unknown
myhome.ie,"Oldcourt Lodge, Firhouse, Dublin 24, D24K31A",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/oldcourt-lodge-firhouse-dublin-24-d24k31a/4840018,1850,"2 beds, 1 bath",2,1,Unknown
myhome.ie,"18a Edenmore Crescent, Raheny, Dublin 5, D05X4W2",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/18a-edenmore-crescent-raheny-dublin-5-d05x4w2/4969037,1490,"1 bed, 1 bath",1,1,Unknown
myhome.ie,"Upper Mount Pleasant Avenue, Ranelagh, Dublin 6",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/upper-mount-pleasant-avenue-ranelagh-dublin-6/4962405,5000,"4 beds, 2 baths",4,2,Unknown
myhome.ie,"13 cedarbrook walk cherry orchard dublin 10, Cherry Orchard, Dublin 10, D10D947",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/13-cedarbrook-walk-cherry-orchard-dublin-10-cherry-orchard-dublin-10-d10d947/4965649,2500,,1,1,Unknown
myhome.ie,"128 Parnell Road, Harolds Cross, Harold's Cross - D12, Dublin 12, D12Y573",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/128-parnell-road-harolds-cross-harold-s-cross-d12-dublin-12-d12y573/4968253,3000,,1,1,Unknown
myhome.ie,"11 Edenbrook Grove, Citywest, Dublin 24",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/11-edenbrook-grove-citywest-dublin-24/4970467,3000,,1,1,Unknown
myhome.ie,"29 Beaumont Drive, Churchtown, Dublin 14",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/29-beaumont-drive-churchtown-dublin-14/4970364,2800,,1,1,Unknown
myhome.ie,"6 The Orchard, Cherryfield Avenue Upper, Milltown, Dublin 6",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/6-the-orchard-cherryfield-avenue-upper-milltown-dublin-6/4970330,7000,,1,1,Unknown
myhome.ie,"Ballsbridge Wood, Shelbourne Road, Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/ballsbridge-wood-shelbourne-road-ballsbridge-dublin-4/4970309,3700,,1,1,Unknown
myhome.ie,"Balregan Cottage, Seafield Road, Killiney, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/balregan-cottage-seafield-road-killiney-county-dublin/4803618,3995,,1,1,Unknown
myhome.ie,"Oldbridge Glen, Lucan, Co. Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/oldbridge-glen-lucan-co-dublin/4970279,3500,,1,1,Unknown
myhome.ie,"65 Fitzroy Avenue, Drumcondra, Dublin 3",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/65-fitzroy-avenue-drumcondra-dublin-3/4970174,3000,,1,1,Unknown
myhome.ie,"Whitechurch Road , Rathfarnham, Dublin 16",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/whitechurch-road-rathfarnham-dublin-16/4953853,6500,,1,1,Unknown
myhome.ie,"Leeson place, Saint Kevin's, Dublin 2",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/leeson-place-saint-kevin-s-dublin-2/4970107,6500,,1,1,Unknown
myhome.ie,"2 Monte Vella, Barnhill Road, Dalkey, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/2-monte-vella-barnhill-road-dalkey-county-dublin/4799429,3250,,1,1,Unknown
myhome.ie,"36 Ballisk Court , Donabate, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/36-ballisk-court-donabate-county-dublin/4970064,2350,,1,1,Unknown
myhome.ie,"Rocks Yard Lane, Sandycove, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/rocks-yard-lane-sandycove-county-dublin/4376727,3180,,1,1,Unknown
myhome.ie,"Broadfield Court, Rathcoole, Co. Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/broadfield-court-rathcoole-co-dublin/4969925,1944,,1,1,Unknown
myhome.ie,"Sutton Grove, Sutton, Dublin 13, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/sutton-grove-sutton-dublin-13-county-dublin/4969888,2850,,1,1,Unknown
myhome.ie,"Luxury Retreat in Killiney, Killiney, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/luxury-retreat-in-killiney-killiney-county-dublin/4785541,17500,,1,1,Unknown
myhome.ie,"Thomas Davis Street, Christchurch, Dublin 8",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/thomas-davis-street-christchurch-dublin-8/4969801,2805,,1,1,Unknown
myhome.ie,"Dunsoghly, Saint Margaret's, Co. Dublin, St Margarets, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/dunsoghly-saint-margaret-s-co-dublin-st-margarets-dublin/4969782,4000,,1,1,Unknown
myhome.ie,"Richelieu Park, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/richelieu-park-dublin-4/4969771,4500,,1,1,Unknown
myhome.ie,"23 Rock Road, Blackrock, Co. Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/23-rock-road-blackrock-co-dublin/4969673,2850,,1,1,Unknown
myhome.ie,"1 Merrion Gardens , Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/1-merrion-gardens-ballsbridge-dublin-4/4953838,12000,,1,1,Unknown
myhome.ie,"Ellensborough Grove, Kiltipper, Dublin 24",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/ellensborough-grove-kiltipper-dublin-24/4969419,2700,,1,1,Unknown
myhome.ie,"135 Upper Leeson Street, Donnybrook, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/135-upper-leeson-street-donnybrook-dublin-4/4969250,3814,,1,1,Unknown
myhome.ie,"Stonebridge Wood , Shankill, Dublin 18",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/stonebridge-wood-shankill-dublin-18/4966838,3100,,1,1,Unknown
myhome.ie,"Fforster Square, Lucan, Co. Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/fforster-square-lucan-co-dublin/4969175,1833,,1,1,Unknown
myhome.ie,"Tara View, Merrion Road, Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/tara-view-merrion-road-ballsbridge-dublin-4/4775785,4250,,1,1,Unknown
myhome.ie,"Eannafort, Raheny, Dublin 5",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/eannafort-raheny-dublin-5/4740280,3400,,1,1,Unknown
myhome.ie,"Collins Ave off, Donnycarney, Dublin 9",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/collins-ave-off-donnycarney-dublin-9/4930175,3500,,1,1,Unknown
myhome.ie,"Shackleton Lodge , Lucan, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/shackleton-lodge-lucan-dublin/4964574,2900,,1,1,Unknown
myhome.ie,"105 Lansdowne Park, Ballsbridge, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/105-lansdowne-park-ballsbridge-dublin-4/4968185,4200,,1,1,Unknown
myhome.ie,"Seabury Meadows , Malahide, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/seabury-meadows-malahide-dublin/4968079,3600,,1,1,Unknown
myhome.ie,"Swiftbrook Drive, Tallaght, Dublin 24",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/swiftbrook-drive-tallaght-dublin-24/4967977,1891,,1,1,Unknown
myhome.ie,"Lynwood, 130 Stillorgan Road, Donnybrook, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/lynwood-130-stillorgan-road-donnybrook-dublin-4/4961014,7000,,1,1,Unknown
myhome.ie,"53 Herbert Lane, Baggot Street, Dublin 2",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/53-herbert-lane-baggot-street-dublin-2/4967919,2410,,1,1,Unknown
myhome.ie,"Belmont Avenue, Donnybrook, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/belmont-avenue-donnybrook-dublin-4/4967887,4324,,1,1,Unknown
myhome.ie,"10 Richmond Estate, Dublin 3, Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/10-richmond-estate-dublin-3-dublin/4967852,3200,,1,1,Unknown
myhome.ie,"Tyrconnell park, Inchicore, Dublin 8",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/tyrconnell-park-inchicore-dublin-8/4967808,3200,,1,1,Unknown
myhome.ie,"28 Bayside Square North, Bayside, Dublin 13",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/28-bayside-square-north-bayside-dublin-13/4962702,2500,,1,1,Unknown
myhome.ie,"Castlechurch Drive, Newcastle, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/castlechurch-drive-newcastle-county-dublin/4967528,3000,,1,1,Unknown
myhome.ie,"Glasaree Road, Finglas, Dublin 11",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/glasaree-road-finglas-dublin-11/4967404,2639,,1,1,Unknown
myhome.ie,"Alderwood Lawn, Springfield (Double Room To Rent), Tallaght, Dublin 24",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/alderwood-lawn-springfield-double-room-to-rent-tallaght-dublin-24/4967251,850,,1,1,Unknown
myhome.ie,"Glenpark Close, Palmerstown, Dublin 20",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/glenpark-close-palmerstown-dublin-20/4967227,2300,,1,1,Unknown
myhome.ie,"Churchgate, Clonsilla, Dublin 15",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/churchgate-clonsilla-dublin-15/4967205,3000,,1,1,Unknown
myhome.ie,"Barrons Hall Grove, Balbriggan, Co. Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/barrons-hall-grove-balbriggan-co-dublin/4967190,1544,,1,1,Unknown
myhome.ie,"Durham Road, Sandymount, Dublin 4",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/durham-road-sandymount-dublin-4/4967071,7000,,1,1,Unknown
myhome.ie,"Glenamuck Cottages , Carrickmines, Dublin 18",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/glenamuck-cottages-carrickmines-dublin-18/4843253,3250,,1,1,Unknown
myhome.ie,"The Penthouse @ Rockpoint, Newtown Avenue, Blackrock, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/the-penthouse-rockpoint-newtown-avenue-blackrock-county-dublin/4965816,15000,,1,1,Unknown
myhome.ie,"41 Seamount Rise, Malahide, County Dublin",https://www.myhome.iehttps://www.myhome.ie/rentals/brochure/41-seamount-rise-malahide-county-dublin/4966780,3300,,1,1,Unknown
